TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
5,13.94,8.4715,4.9495,2.5841,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,40.8148,26.2142,14.6146,7.44034,,40.7926,26.22518,14.27126,8.07527
2,40.9198,26.0823,13.1799,7.77616,,,,,
3,41.0681,26.4246,13.5788,8.26514,,,,,
4,40.5887,26.4123,16.014,8.79197,,,,,
5,40.5716,25.9925,13.969,8.10274,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.99E+07,3.13E+07,5.28E+07,1.04E+08,,,,,
2,1.98E+07,3.09E+07,5.95E+07,9.86E+07,,,,,
3,1.97E+07,3.11E+07,5.62E+07,9.29E+07,,,,,
4,1.95E+07,2.93E+07,4.60E+07,8.41E+07,,,,,
5,1.95E+07,2.95E+07,5.25E+07,9.17E+07,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
COLSIZE:,0.0001,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,54.54402,33.64216,17.89206,10.804692
1,54.6064,33.3056,19.1457,9.98435,,,,,
2,54.0611,33.2655,17.4507,9.81534,,,,,
3,53.7221,33.5821,17.1116,13.1271,,,,,
4,54.6828,32.8433,17.3776,9.81427,,,,,
5,55.6477,35.2143,18.3747,11.2824,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,12.959,6.6614,3.8213,2.186,,13.1736,7.08712,3.9576,2.3168
2,12.816,6.71,4.0243,2.1278,,,,,
3,12.785,6.9946,3.6499,2.5463,,,,,
4,13.137,6.57,3.597,2.033,,,,,
5,14.171,8.4996,4.6955,2.6909,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,41.2006,25.5099,14.7281,7.56128,,40.92644,25.50464,13.41162,8.227376
2,40.8011,25.4169,13.1829,7.32249,,,,,
3,40.502,25.7965,12.9035,10.6899,,,,,
4,41.0945,24.9688,13.0482,7.25535,,,,,
5,41.034,25.8311,13.1954,8.30786,,,,,
PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.97E+07,3.22E+07,5.61E+07,1.08E+08,,,,,
2,1.99E+07,3.23E+07,6.15E+07,1.09E+08,,,,,
3,2.00E+07,3.20E+07,6.27E+07,8.18E+07,,,,,
4,1.96E+07,3.27E+07,6.18E+07,1.09E+08,,,,,
5,1.93E+07,3.05E+07,5.84E+07,9.52E+07,,,,,
PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.00012955,0.00074807,0.00038366,,,,,
2,,1.84E-01,0.0007029,0.00057157,,,,,
3,,9.39E-01,0.00057962,0.00041359,,,,,
4,,6.92E-01,0.00025048,3.37E-02,,,,,
5,,0.00056374,0.0010112,0.00074024,,,,,
PADDING WITH BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,54.5715,34.1826,17.573,11.5156,,54.48398,34.26188,18.35654,11.14236
2,54.6971,34.0211,17.571,10.233,,,,,
3,53.8053,33.767,18.883,11.5795,,,,,
4,54.1079,33.4449,16.9531,10.4371,,,,,
5,55.2381,35.8938,20.8026,11.9466,,,,,
PADDING WITH BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,12.903,7.0226,3.5612,2.3287,,13.0502,7.11496,4.05182,2.24714
2,13.032,7.1548,3.601,2.0546,,,,,
3,12.672,6.5856,4.5267,2.2441,,,,,
4,12.746,6.5501,3.4566,2.0213,,,,,
5,13.898,8.2617,5.1136,2.587,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,41.069,25.6133,12.8257,8.12008,,40.84002,25.53552,13.04974,7.899954
2,41.0796,25.2869,12.8538,7.35285,,,,,
3,40.5456,25.6413,13.0278,8.2568,,,,,
4,40.7683,25.3868,12.3929,7.51753,,,,,
5,40.7376,25.7493,14.1485,8.25251,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.97E+07,3.14E+07,6.11E+07,9.32E+07,,,,,
2,1.96E+07,3.16E+07,6.11E+07,1.05E+08,,,,,
3,2.00E+07,3.18E+07,5.69E+07,9.27E+07,,,,,
4,1.98E+07,3.21E+07,6.33E+07,1.03E+08,,,,,
5,1.94E+07,2.99E+07,5.16E+07,8.99E+07,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
COLSIZE:,0.00001,,,,,,,,
PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,55.1217,36.5032,18.6829,12.0765,,55.88298,35.47846,18.50262,11.30362
2,56.8969,34.5711,17.7353,10.4196,,,,,
3,56.7644,35.7428,18.4996,12.2656,,,,,
4,55.2786,35.2667,19.1557,10.0903,,,,,
5,55.3533,35.3085,18.4396,11.6661,,,,,
PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,14.158,9.746,4.919,3.0121,,14.3506,8.82696,4.80088,2.85466
2,14.67,8.1482,4.8629,2.6501,,,,,
3,14.386,9.0477,4.714,3.1963,,,,,
4,14.231,8.7221,4.8506,2.635,,,,,
5,14.308,8.4708,4.6579,2.7798,,,,,
PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,40.5248,26.41,13.6536,9.21758,,41.09004,25.69392,13.35668,8.373858
2,41.7839,25.2239,12.7694,7.53305,,,,,
3,41.9561,25.5784,13.2329,9.22462,,,,,
4,40.6175,25.7737,13.8667,7.18798,,,,,
5,40.5679,25.4836,13.2608,8.70606,,,,,
PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.95E+07,2.94E+07,5.75E+07,8.89E+07,,,,,
2,1.89E+07,3.11E+07,6.05E+07,1.03E+08,,,,,
3,1.89E+07,3.00E+07,5.80E+07,8.75E+07,,,,,
4,1.94E+07,3.04E+07,5.61E+07,1.06E+08,,,,,
5,1.94E+07,3.04E+07,5.82E+07,9.20E+07,,,,,
PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,,0.0020035,0.00031447,0.00043305,,,,,
2,,0.00039199,0.00049425,0.0006131,,,,,
3,,0.0019065,0.00043452,0.0010946,,,,,
4,,0.00046955,0.00049361,0.00020038,,,,,
5,,0.00046132,0.00048409,0.00027471,,,,,
PADDING WITH BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,55.1108,37.9602,20.3579,12.6082,,55.31644,36.62702,21.3819,12.67616
2,55.3763,35.786,21.8352,11.0208,,,,,
3,55.6656,37.519,21.6358,12.5899,,,,,
4,55.1728,36.0893,20.1647,14.7061,,,,,
5,55.2567,35.7806,22.9159,12.4558,,,,,
PADDING WITH BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,13.996,9.6765,5.6704,2.9768,,14.0122,8.96082,5.19424,2.75582
2,13.881,8.3283,5.1293,2.4714,,,,,
3,14.145,9.5374,5.0067,2.7394,,,,,
4,14.07,8.8455,4.7445,2.6793,,,,,
5,13.969,8.4164,5.4203,2.9122,,,,,
PADDING WITH BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,40.5151,26.3271,13.2925,8.62821,,40.71558,25.77134,14.5818,8.926596
2,40.9153,25.6218,15.0211,7.6611,,,,,
3,40.9342,26.0626,14.9383,8.60794,,,,,
4,40.5268,25.4054,14.0243,11.1829,,,,,
5,40.6865,25.4398,15.6328,8.55283,,,,,
PADDING WITH BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.95E+07,2.83E+07,5.27E+07,8.52E+07,,,,,
2,1.94E+07,3.00E+07,4.92E+07,9.74E+07,,,,,
3,1.93E+07,2.86E+07,4.96E+07,8.53E+07,,,,,
4,1.95E+07,2.98E+07,5.32E+07,7.30E+07,,,,,
5,1.94E+07,3.00E+07,4.69E+07,8.62E+07,,,,,
PADDING WITH BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
