TAKE,1THR,2THR,4THR,,1THR,2THR,4THR
 ,,,,,,,
COLSIZE:,0.01,,,,,,
NAIVE,,,,,,,
TIME,,,,,,,
1,32.2026,16.1196,11.1379,,32.32468,16.28064,11.3006
2,32.383,16.2145,11.1935,,,,
3,32.0262,16.0223,11.134,,,,
4,32.2021,16.2958,11.3571,,,,
5,32.8095,16.751,11.6805,,,,
ERROR,,,,,,,
1,1.26311,1.26311,1.26311,,,,
2,1.26955,1.26955,1.26955,,,,
3,1.22488,1.22488,1.22488,,,,
4,1.27937,1.27937,1.27937,,,,
5,1.26995,1.26995,1.26995,,,,
THROUGHPUT,,,,,,,
1,1.04E+06,2.08E+06,3.01E+06,,,,
2,1.04E+06,2.07E+06,3.00E+06,,,,
3,1.05E+06,2.09E+06,3.01E+06,,,,
4,1.04E+06,2.06E+06,2.95E+06,,,,
5,1.02E+06,2.00E+06,2.87E+06,,,,
MERGED,,,,,,,
TIME,,,,,,,
1,28.9016,14.3916,9.50314,,28.89374,14.32126,9.4307
2,29.0126,14.3646,9.48287,,,,
3,28.8232,14.3263,9.39532,,,,
4,28.9093,14.184,9.29995,,,,
5,28.822,14.3398,9.47222,,,,
ERROR,,,,,,,
1,1.26311,1.26311,1.26311,,,,
2,1.26955,1.26955,1.26955,,,,
3,1.22488,1.22488,1.22488,,,,
4,1.27937,1.27937,1.27937,,,,
5,1.26995,1.26995,1.26995,,,,
THROUGHPUT,,,,,,,
1,1.16E+06,2.33E+06,3.53E+06,,,,
2,1.16E+06,2.34E+06,3.54E+06,,,,
3,1.16E+06,2.34E+06,3.57E+06,,,,
4,1.16E+06,2.37E+06,3.61E+06,,,,
5,1.16E+06,2.34E+06,3.54E+06,,,,
COLSIZE:,0.001,,,,,,
NAIVE,,,,,,,
TIME,,,,,,,
1,33.1379,16.6726,11.8364,,33.15408,16.88186,11.96104
2,33.1494,16.6045,11.9344,,,,
3,32.9286,16.8349,11.8703,,,,
4,33.0545,16.9936,12.029,,,,
5,33.5,17.3037,12.1351,,,,
ERROR,,,,,,,
1,0.0824948,0.0824948,0.0824948,,,,
2,0.0844392,0.0844392,0.0844392,,,,
3,0.0827201,0.0827201,0.0827201,,,,
4,0.0878063,0.0878063,0.0878063,,,,
5,0.0826668,0.0826668,0.0826668,,,,
THROUGHPUT,,,,,,,
1,1.01E+06,2.01E+06,2.83E+06,,,,
2,1.01E+06,2.02E+06,2.81E+06,,,,
3,1.02E+06,1.99E+06,2.83E+06,,,,
4,1.02E+06,1.97E+06,2.79E+06,,,,
5,1.00E+06,1.94E+06,2.77E+06,,,,
MERGED,,,,,,,
TIME,,,,,,,
1,29.9266,14.8057,10.0664,,29.87782,14.86592,10.15071
2,29.8201,14.8558,9.99175,,,,
3,29.748,14.8637,10.3022,,,,
4,29.9778,14.897,10.3098,,,,
5,29.9166,14.9074,10.0834,,,,
ERROR,,,,,,,
1,0.0824948,0.0824948,0.0824948,,,,
2,0.0844392,0.0844392,0.0844392,,,,
3,0.0827201,0.0827201,0.0827201,,,,
4,0.0878063,0.0878063,0.0878063,,,,
5,0.0826668,0.0826668,0.0826668,,,,
THROUGHPUT,,,,,,,
1,1.12E+06,2.27E+06,3.33E+06,,,,
2,1.13E+06,2.26E+06,3.36E+06,,,,
3,1.13E+06,2.26E+06,3.26E+06,,,,
4,1.12E+06,2.25E+06,3.25E+06,,,,
5,1.12E+06,2.25E+06,3.33E+06,,,,
COLSIZE:,0.0001,,,,,,
NAIVE,,,,,,,
TIME,,,,,,,
1,34.2289,20.4597,15.0782,,34.94652,20.8943,15.57376
2,35.4674,21.1216,15.819,,,,
3,35.47,21.2399,15.9491,,,,
4,35.5265,21.2135,15.9249,,,,
5,34.0398,20.4368,15.0976,,,,
ERROR,,,,,,,
1,0.00458052,0.00458052,0.00458052,,,,
2,0.00444005,0.00444005,0.00444005,,,,
3,0.00418774,0.00418774,0.00418774,,,,
4,0.00437697,0.00437697,0.00437697,,,,
5,0.0044167,0.0044167,0.0044167,,,,
THROUGHPUT,,,,,,,
1,980294,1.64E+06,2.23E+06,,,,
2,946063,1.59E+06,2.12E+06,,,,
3,945996,1.58E+06,2.10E+06,,,,
4,944490,1.58E+06,2.11E+06,,,,
5,985741,1.64E+06,2.22E+06,,,,
MERGED,,,,,,,
TIME,,,,,,,
1,31.7813,19.0228,13.7529,,31.787,19.04374,13.84524
2,31.8625,19.0506,13.8122,,,,
3,31.8552,19.1224,13.9118,,,,
4,31.798,19.0089,13.9261,,,,
5,31.638,19.014,13.8232,,,,
ERROR,,,,,,,
1,0.00458052,0.00458052,0.00458052,,,,
2,0.00444005,0.00444005,0.00444005,,,,
3,0.00418774,0.00418774,0.00418774,,,,
4,0.00437697,0.00437697,0.00437697,,,,
5,0.0044167,0.0044167,0.0044167,,,,
THROUGHPUT,,,,,,,
1,1.06E+06,1.76E+06,2.44E+06,,,,
2,1.05E+06,1.76E+06,2.43E+06,,,,
3,1.05E+06,1.75E+06,2.41E+06,,,,
4,1.06E+06,1.77E+06,2.41E+06,,,,
5,1.06E+06,1.76E+06,2.43E+06,,,,
COLSIZE:,0.00001,,,,,,
NAIVE,,,,,,,
TIME,,,,,,,
1,44.6296,24.1365,16.3119,,45.21984,24.45376,16.64978
2,45.765,24.8491,17.3851,,,,
3,45.2205,24.3948,16.1843,,,,
4,44.6695,24.2298,16.2267,,,,
5,45.8146,24.6586,17.1409,,,,
ERROR,,,,,,,
1,0.000154456,0.000154456,0.000154456,,,,
2,0.000121306,0.000121306,0.000121306,,,,
3,0.000156734,0.000156734,0.000156734,,,,
4,0.000138103,0.000138103,0.000138103,,,,
5,0.00011952,0.00011952,0.00011952,,,,
THROUGHPUT,,,,,,,
1,751842,1.39E+06,2.06E+06,,,,
2,733189,1.35E+06,1.93E+06,,,,
3,742019,1.38E+06,2.07E+06,,,,
4,751170,1.38E+06,2.07E+06,,,,
5,732396,1.36E+06,1.96E+06,,,,
MERGED,,,,,,,
TIME,,,,,,,
1,42.2423,22.787,15.0385,,42.24722,22.7515,14.96638
2,42.0616,22.5944,15.0481,,,,
3,42.6074,22.9121,14.8483,,,,
4,42.0585,22.7616,14.9747,,,,
5,42.2663,22.7024,14.9223,,,,
ERROR,,,,,,,
1,0.000154456,0.000154456,0.000154456,,,,
2,0.000121306,0.000121306,0.000121306,,,,
3,0.000156734,0.000156734,0.000156734,,,,
4,0.000138103,0.000138103,0.000138103,,,,
5,0.00011952,0.00011952,0.00011952,,,,
THROUGHPUT,,,,,,,
1,794332,1.47E+06,2.23E+06,,,,
2,797744,1.49E+06,2.23E+06,,,,
3,787525,1.46E+06,2.26E+06,,,,
4,797804,1.47E+06,2.24E+06,,,,
5,793881,1.48E+06,2.25E+06,,,,
