TAKE,1THR,2THR,4THR,8THR
 
COLSIZE:,0.01
NAIVE
TIME:
1.0,32.2835,16.3229,11.6461,
2.0,32.294,16.3684,11.8103,
3.0,32.2323,15.9961,11.1874,
4.0,32.7255,16.2928,11.3047,
5.0,31.7371,16.0828,10.7896,
NAIVE
THROUGHPUT:
1.0,1.03937e+06,2.05566e+06,2.88118e+06,
2.0,1.03903e+06,2.04995e+06,2.8411e+06,
3.0,1.04102e+06,2.09767e+06,2.99931e+06,
4.0,1.02533e+06,2.05947e+06,2.96819e+06,
5.0,1.05726e+06,2.08635e+06,3.10989e+06,
NAIVE
ERROR:
1.0,.2658,.2658,.2658,
2.0,.29642,.29642,.29642,
3.0,.25872,.25872,.25872,
4.0,.2645,.2645,.2645,
5.0,.26253,.26253,.26253,
MERGED
TIME:
1.0,29.4549,14.8745,10.6991,
2.0,29.2135,14.701,9.95344,
3.0,29.3008,14.7434,9.88646,
4.0,29.1338,14.6319,9.91653,
5.0,28.7152,14.1037,9.16548,
MERGED
THROUGHPUT:
1.0,1.13918e+06,2.25583e+06,3.13619e+06,
2.0,1.14859e+06,2.28245e+06,3.37114e+06,
3.0,1.14517e+06,2.2759e+06,3.39398e+06,
4.0,1.15173e+06,2.29324e+06,3.38369e+06,
5.0,1.16852e+06,2.37913e+06,3.66096e+06,
MERGED
ERROR:
1.0,.2658,.2658,.2658,
2.0,.29642,.29642,.29642,
3.0,.25872,.25872,.25872,
4.0,.2645,.2645,.2645,
5.0,.26253,.26253,.26253,
COLSIZE:,0.001
NAIVE
TIME:
1.0,31.6154,15.7947,10.7029,
2.0,32.1887,16.0175,10.8229,
3.0,31.8722,15.9421,10.791,
4.0,32.0529,16.0048,11.0062,
5.0,31.9527,15.9928,10.891,
NAIVE
THROUGHPUT:
1.0,1.06133e+06,2.12441e+06,3.13507e+06,
2.0,1.04243e+06,2.09486e+06,3.10031e+06,
3.0,1.05278e+06,2.10477e+06,3.10948e+06,
4.0,1.04684e+06,2.09652e+06,3.04868e+06,
5.0,1.05013e+06,2.09809e+06,3.08094e+06,
NAIVE
ERROR:
1.0,.0079933,.0079933,.0079933,
2.0,.0096250,.0096250,.0096250,
3.0,.008980,.008980,.008980,
4.0,.0086058,.0086058,.0086058,
5.0,.0092124,.0092124,.0092124,
MERGED
TIME:
1.0,28.5,13.9759,8.99684,
2.0,28.8061,14.082,9.36733,
3.0,28.5622,14.0478,9.0235,
4.0,29.333,14.4262,8.98764,
5.0,28.6997,14.1187,8.98654,
MERGED
THROUGHPUT:
1.0,1.17735e+06,2.40088e+06,3.72958e+06,
2.0,1.16484e+06,2.38278e+06,3.58207e+06,
3.0,1.17478e+06,2.3886e+06,3.71856e+06,
4.0,1.14391e+06,2.32594e+06,3.7334e+06,
5.0,1.16916e+06,2.37659e+06,3.73386e+06,
MERGED
ERROR:
1.0,.0079933,.0079933,.0079933,
2.0,.0096250,.0096250,.0096250,
3.0,.008980,.008980,.008980,
4.0,.0086058,.0086058,.0086058,
5.0,.0092124,.0092124,.0092124,
COLSIZE:,0.0001
NAIVE
TIME:
1.0,31.1577,15.8752,10.9894,
2.0,29.4546,14.9875,9.81839,
3.0,29.0496,14.815,9.50093,
4.0,30.9238,15.7713,10.9149,
5.0,30.9411,15.7906,10.7405,
NAIVE
THROUGHPUT:
1.0,1.07692e+06,2.11364e+06,3.05335e+06,
2.0,1.13919e+06,2.23882e+06,3.41751e+06,
3.0,1.15507e+06,2.26489e+06,3.5317e+06,
4.0,1.08507e+06,2.12756e+06,3.07419e+06,
5.0,1.08446e+06,2.12496e+06,3.1241e+06,
NAIVE
ERROR:
1.0,.00020301,.00020301,.00020301,
2.0,.00021816,.00021816,.00021816,
3.0,.00020836,.00020836,.00020836,
4.0,.00022007,.00022007,.00022007,
5.0,.00025465,.00025465,.00025465,
MERGED
TIME:
1.0,27.4903,13.8868,9.03223,
2.0,27.3894,13.871,8.98338,
3.0,27.3429,13.9913,8.83793,
4.0,28.2524,14.2722,9.32452,
5.0,27.6471,13.9888,8.92241,
MERGED
THROUGHPUT:
1.0,1.22059e+06,2.41628e+06,3.71497e+06,
2.0,1.22509e+06,2.41904e+06,3.73517e+06,
3.0,1.22717e+06,2.39824e+06,3.79664e+06,
4.0,1.18767e+06,2.35103e+06,3.59852e+06,
5.0,1.21367e+06,2.39867e+06,3.76069e+06,
MERGED
ERROR:
1.0,.00020301,.00020301,.00020301,
2.0,.00021816,.00021816,.00021816,
3.0,.00020836,.00020836,.00020836,
4.0,.00022007,.00022007,.00022007,
5.0,.00025465,.00025465,.00025465,
COLSIZE:,0.00001
NAIVE
TIME:
1.0,30.6082,15.6028,10.5652,
2.0,30.6234,15.5621,10.5602,
3.0,30.2566,15.3603,10.5559,
4.0,30.6679,15.4956,10.512,
5.0,29.3656,14.8801,9.74568,
NAIVE
THROUGHPUT:
1.0,1.09626e+06,2.15055e+06,3.17595e+06,
2.0,1.09571e+06,2.15617e+06,3.17744e+06,
3.0,1.10899e+06,2.18449e+06,3.17872e+06,
4.0,1.09412e+06,2.16541e+06,3.19201e+06,
5.0,1.14265e+06,2.25499e+06,3.44301e+06,
NAIVE
ERROR:
1.0,.10585e-0,.10585e-0,.10585e-0,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
MERGED
TIME:
1.0,27.151,13.7786,8.73681,
2.0,27.1673,13.7438,8.77317,
3.0,27.0904,13.6346,8.93798,
4.0,27.2562,13.6881,9.12053,
5.0,27.446,13.9149,8.80853,
MERGED
THROUGHPUT:
1.0,1.23584e+06,2.43526e+06,3.84058e+06,
2.0,1.23511e+06,2.44142e+06,3.82466e+06,
3.0,1.23861e+06,2.46097e+06,3.75414e+06,
4.0,1.23108e+06,2.45136e+06,3.679e+06,
5.0,1.22256e+06,2.41141e+06,3.80931e+06,
MERGED
ERROR:
1.0,.10585e-0,.10585e-0,.10585e-0,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
