TAKE,1THR,2THR,4THR,8THR
 
COLSIZE:,0.01
NAIVE
TIME:
1.0,31.9384,15.8225,10.7316,
2.0,32.1657,16.022,10.6991,
3.0,31.7172,15.8493,10.5401,
4.0,31.9118,15.9443,10.8701,
5.0,31.905,15.95,10.9629,
NAIVE
THROUGHPUT:
1.0,1.0506e+06,2.12068e+06,3.12668e+06,
2.0,1.04317e+06,2.09428e+06,3.13618e+06,
3.0,1.05792e+06,2.11709e+06,3.1835e+06,
4.0,1.05147e+06,2.10448e+06,3.08685e+06,
5.0,1.0517e+06,2.10372e+06,3.06072e+06,
NAIVE
ERROR:
1.0,.0162,.0162,.0162,
2.0,.024417,.024417,.024417,
3.0,.032524,.032524,.032524,
4.0,.0097127,.0097127,.0097127,
5.0,.018286,.018286,.018286,
MERGED
TIME:
1.0,28.6941,14.65,10.2051,
2.0,28.7697,14.6292,9.58291,
3.0,28.8973,14.195,9.35679,
4.0,30.0363,14.751,9.60325,
5.0,28.7226,14.6475,10.3495,
MERGED
THROUGHPUT:
1.0,1.16938e+06,2.2904e+06,3.28802e+06,
2.0,1.16631e+06,2.29366e+06,3.50149e+06,
3.0,1.16116e+06,2.36383e+06,3.5861e+06,
4.0,1.11713e+06,2.27472e+06,3.49407e+06,
5.0,1.16822e+06,2.29079e+06,3.24213e+06,
MERGED
ERROR:
1.0,.0162,.0162,.0162,
2.0,.024417,.024417,.024417,
3.0,.032524,.032524,.032524,
4.0,.0097127,.0097127,.0097127,
5.0,.018286,.018286,.018286,
COLSIZE:,0.001
NAIVE
TIME:
1.0,31.8714,15.9804,10.9127,
2.0,31.292,15.5896,10.76,
3.0,32.2134,15.9768,11.1482,
4.0,32.0943,15.9836,11.2959,
5.0,31.3377,15.6658,10.8849,
NAIVE
THROUGHPUT:
1.0,1.05281e+06,2.09973e+06,3.07481e+06,
2.0,1.0723e+06,2.15237e+06,3.11845e+06,
3.0,1.04163e+06,2.10019e+06,3.00985e+06,
4.0,1.04549e+06,2.0993e+06,2.9705e+06,
5.0,1.07074e+06,2.14189e+06,3.08267e+06,
NAIVE
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
MERGED
TIME:
1.0,28.2398,14.2634,9.66522,
2.0,28.179,14.4105,9.73521,
3.0,28.397,13.9113,9.56884,
4.0,28.04,13.936,9.22604,
5.0,28.3331,13.8941,8.93317,
MERGED
THROUGHPUT:
1.0,1.1882e+06,2.35249e+06,3.47167e+06,
2.0,1.19076e+06,2.32847e+06,3.44671e+06,
3.0,1.18162e+06,2.41202e+06,3.50664e+06,
4.0,1.19666e+06,2.40775e+06,3.63693e+06,
5.0,1.18429e+06,2.41501e+06,3.75616e+06,
MERGED
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
COLSIZE:,0.0001
NAIVE
TIME:
1.0,27.9335,13.8807,8.82417,
2.0,28.1572,13.9581,8.72102,
3.0,29.4979,14.655,9.58614,
4.0,30.2743,15.0359,10.2536,
5.0,27.5834,13.6353,8.5949,
NAIVE
THROUGHPUT:
1.0,1.20122e+06,2.41734e+06,3.80256e+06,
2.0,1.19168e+06,2.40394e+06,3.84754e+06,
3.0,1.13752e+06,2.28962e+06,3.50031e+06,
4.0,1.10835e+06,2.23162e+06,3.27245e+06,
5.0,1.21647e+06,2.46085e+06,3.904e+06,
NAIVE
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
MERGED
TIME:
1.0,25.8048,12.7488,8.2344,
2.0,26.0846,12.8485,8.07785,
3.0,26.1094,12.8311,7.90282,
4.0,26.3987,12.8939,8.27854,
5.0,25.8887,12.7545,8.20259,
MERGED
THROUGHPUT:
1.0,1.30032e+06,2.63197e+06,4.07491e+06,
2.0,1.28637e+06,2.61154e+06,4.15388e+06,
3.0,1.28515e+06,2.61509e+06,4.24588e+06,
4.0,1.27106e+06,2.60236e+06,4.05318e+06,
5.0,1.2961e+06,2.63078e+06,4.09071e+06,
MERGED
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
COLSIZE:,0.00001
NAIVE
TIME:
1.0,28.6676,14.2488,9.35028,
2.0,27.0862,13.4261,8.42424,
3.0,27.0552,13.4449,8.42129,
4.0,27.8469,13.8448,9.02307,
5.0,27.5586,13.6902,8.52132,
NAIVE
THROUGHPUT:
1.0,1.17047e+06,2.3549e+06,3.5886e+06,
2.0,1.2388e+06,2.49919e+06,3.98308e+06,
3.0,1.24022e+06,2.4957e+06,3.98448e+06,
4.0,1.20496e+06,2.42361e+06,3.71874e+06,
5.0,1.21757e+06,2.45098e+06,3.9377e+06,
NAIVE
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
MERGED
TIME:
1.0,25.0787,12.3609,7.60985,
2.0,24.7488,12.4859,7.52571,
3.0,26.3013,13.0713,8.00304,
4.0,24.4978,12.0855,7.22779,
5.0,24.9327,12.3136,7.60796,
MERGED
THROUGHPUT:
1.0,1.33797e+06,2.71456e+06,4.40934e+06,
2.0,1.3558e+06,2.68739e+06,4.45864e+06,
3.0,1.27577e+06,2.56704e+06,4.19271e+06,
4.0,1.36969e+06,2.77642e+06,4.64242e+06,
5.0,1.3458e+06,2.72499e+06,4.41044e+06,
MERGED
ERROR:
1.0,,,,
2.0,,,,
3.0,,,,
4.0,,,,
5.0,,,,
