TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
 ,,,,,,,
COLSIZE:,0.01,,,,,,
BATCH,,,,,,,
TIME:,,,,,,,
1,27.5149,13.747,8.85024,,27.5829,13.7509,8.708364
2,27.7106,13.8829,8.66517,,,,
3,27.3916,13.6185,8.33113,,,,
4,27.767,13.8806,8.93438,,,,
5,27.5304,13.6255,8.7609,,,,
BATCH,,,,,,,
HASH TIME:,,,,,,,
1,2.941,1.4649,0.94606,,2.94054,1.47644,0.933926
2,2.9348,1.4783,0.92658,,,,
3,2.9382,1.4792,0.90181,,,,
4,2.9396,1.4788,0.95054,,,,
5,2.9491,1.481,0.94464,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,24.4896,12.2383,7.89108,,24.55772,12.24102,7.759772
2,24.6898,12.374,7.73211,,,,
3,24.3701,12.108,7.41671,,,,
4,24.7414,12.3716,7.9466,,,,
5,24.4977,12.1132,7.81236,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,1.22E+06,2.44E+06,3.79E+06,,,,
2,1.21E+06,2.42E+06,3.87E+06,,,,
3,1.22E+06,2.46E+06,4.03E+06,,,,
4,1.21E+06,2.42E+06,3.76E+06,,,,
5,1.22E+06,2.46E+06,3.83E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,0.0099143,0.0099143,0.0099143,,,,
2,0.0092473,0.0092473,0.0092473,,,,
3,0.0095811,0.0095811,0.0095811,,,,
4,0.014328,0.014328,0.014327,,,,
5,0.027217,0.027217,0.027217,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,27.5477,13.7069,8.73195,,27.64568,13.75446,8.640384
2,27.8294,13.852,8.49086,,,,
3,27.3182,13.7605,8.51738,,,,
4,27.7325,13.7174,8.89792,,,,
5,27.8006,13.7355,8.56381,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.0052,1.5131,0.9806,,2.99006,1.5039,0.954248
2,3.0018,1.517,0.95071,,,,
3,3.0116,1.5234,0.9552,,,,
4,2.968,1.4836,0.96457,,,,
5,2.9637,1.4824,0.92016,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,24.4577,12.1733,7.74355,,24.57016,12.2192,7.678504
2,24.74,12.2973,7.53462,,,,
3,24.2228,12.2062,7.55682,,,,
4,24.6772,12.1976,7.92787,,,,
5,24.7531,12.2216,7.62966,,,,
BATCH AND PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.22E+06,2.45E+06,3.84E+06,,,,
2,1.21E+06,2.42E+06,3.95E+06,,,,
3,1.23E+06,2.44E+06,3.94E+06,,,,
4,1.21E+06,2.45E+06,3.77E+06,,,,
5,1.21E+06,2.44E+06,3.92E+06,,,,
BATCH AND PADDING,,,,,,,
ERROR:,,,,,,,
1,0.015302,0.015302,0.015302,,,,
2,0.029043,0.029043,0.029043,,,,
3,0.027953,0.027953,0.027953,,,,
4,0.01035,0.01035,0.01035,,,,
5,0.013009,0.013009,0.013009,,,,
COLSIZE:,0.001,,,,,,
BATCH,,,,,,,
TIME:,,,,,,,
1,26.3283,13.1161,8.13077,,26.25256,13.10446,7.965228
2,26.2058,13.0682,7.82187,,,,
3,26.3187,13.1983,7.73586,,,,
4,26.394,13.0784,7.94421,,,,
5,26.016,13.0613,8.19343,,,,
BATCH,,,,,,,
HASH TIME:,,,,,,,
1,2.9379,1.4787,0.9203,,2.94632,1.4784,0.901738
2,2.9531,1.4796,0.8899,,,,
3,2.9545,1.4798,0.87515,,,,
4,2.9492,1.4776,0.89599,,,,
5,2.9369,1.4763,0.92735,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,23.3071,11.6069,7.19714,,23.22074,11.59424,7.052872
2,23.1671,11.5577,6.92032,,,,
3,23.2769,11.6784,6.85158,,,,
4,23.3569,11.573,7.04004,,,,
5,22.9957,11.5552,7.25528,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,1.27E+06,2.56E+06,4.13E+06,,,,
2,1.28E+06,2.57E+06,4.29E+06,,,,
3,1.27E+06,2.54E+06,4.34E+06,,,,
4,1.27E+06,2.57E+06,4.22E+06,,,,
5,1.29E+06,2.57E+06,4.10E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,,,,,,,
2,,3.75E-01,3.97E-02,,,,
3,,1.16E-02,,,,,
4,,,,,,,
5,,3.45E-02,7.19E-01,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,26.3258,13.1177,8.00006,,26.37822,13.08976,7.941864
2,26.4379,13.1482,7.85166,,,,
3,26.3993,13.0426,7.6877,,,,
4,26.3618,13.1011,8.03155,,,,
5,26.3663,13.0392,8.13835,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,2.9918,1.5129,0.94272,,3.00294,1.51122,0.928178
2,2.9664,1.4829,0.89007,,,,
3,3.0108,1.5191,0.90837,,,,
4,3.0275,1.5255,0.93548,,,,
5,3.0182,1.5157,0.96425,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,23.251,11.563,7.05381,,23.28992,11.54822,7.008028
2,23.3853,11.634,6.9526,,,,
3,23.3015,11.4942,6.77018,,,,
4,23.247,11.5624,7.0887,,,,
5,23.2648,11.4875,7.17485,,,,
BATCH AND PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.27E+06,2.56E+06,4.19E+06,,,,
2,1.27E+06,2.55E+06,4.27E+06,,,,
3,1.27E+06,2.57E+06,4.36E+06,,,,
4,1.27E+06,2.56E+06,4.18E+06,,,,
5,1.27E+06,2.57E+06,4.12E+06,,,,
BATCH AND PADDING,,,,,,,
ERROR:,,,,,,,
1,,,,,,,
2,,8.66E-01,0.0018892,,,,
3,,,,,,,
4,,,5.83E-01,,,,
5,,8.02E-01,5.83E-01,,,,
COLSIZE:,0.0001,,,,,,
BATCH,,,,,,,
TIME:,,,,,,,
1,24.6124,12.2612,7.43814,,24.5144,12.14202,7.626152
2,24.433,12.1731,7.45451,,,,
3,24.4102,12.0422,7.59149,,,,
4,24.5895,12.1111,7.84365,,,,
5,24.5269,12.1225,7.80297,,,,
BATCH,,,,,,,
HASH TIME:,,,,,,,
1,3.0398,1.5304,0.93776,,3.00418,1.50936,0.949202
2,2.9597,1.4895,0.91585,,,,
3,2.9785,1.4968,0.92992,,,,
4,2.9806,1.4917,0.96738,,,,
5,3.0623,1.5384,0.9951,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,21.4862,10.7075,6.50416,,21.42502,10.60972,6.672156
2,21.3916,10.6541,6.53214,,,,
3,21.3453,10.5248,6.65611,,,,
4,21.5258,10.5978,6.86518,,,,
5,21.3762,10.5644,6.80319,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,1.36E+06,2.74E+06,4.51E+06,,,,
2,1.37E+06,2.76E+06,4.50E+06,,,,
3,1.37E+06,2.79E+06,4.42E+06,,,,
4,1.36E+06,2.77E+06,4.28E+06,,,,
5,1.37E+06,2.77E+06,4.30E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,,6.05E-01,8.83E-01,,,,
2,,9.03E-01,4.52E-01,,,,
3,,4.83E-01,4.11E-01,,,,
4,,4.41E-01,3.73E-01,,,,
5,,7.83E-01,,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,24.2598,12.2523,7.29299,,24.59856,12.19144,7.602894
2,24.135,11.9968,7.30958,,,,
3,24.635,12.1595,7.58311,,,,
4,24.8326,12.1768,7.92876,,,,
5,25.1304,12.3718,7.90003,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,2.9818,1.4937,0.89224,,2.98128,1.48852,0.930898
2,2.9661,1.488,0.91127,,,,
3,2.9782,1.4858,0.92558,,,,
4,2.9805,1.4803,0.9677,,,,
5,2.9998,1.4948,0.9577,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,21.1921,10.7192,6.39354,,21.53182,10.6668,6.664802
2,21.0865,10.4739,6.39637,,,,
3,21.57,10.6443,6.64949,,,,
4,21.7681,10.6574,6.94917,,,,
5,22.0424,10.8392,6.93544,,,,
