TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
1,3.3223,1.676,1.1356,,3.30486,1.66778,1.16856
2,3.3022,1.6567,1.1693,,,,
3,3.3006,1.6552,1.1644,,,,
4,3.3081,1.684,1.1805,,,,
5,3.2911,1.667,1.193,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,27.8746,14.1693,9.32244,,27.59888,14.03538,9.54507
2,27.4702,13.8684,9.47861,,,,
3,27.6268,14.0076,9.59348,,,,
4,27.5127,14.0994,9.60283,,,,
5,27.5101,14.0322,9.72799,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,1.07E+06,2.11E+06,3.19E+06,,,,
2,1.09E+06,2.15E+06,3.14E+06,,,,
3,1.08E+06,2.14E+06,3.10E+06,,,,
4,1.09E+06,2.12E+06,3.10E+06,,,,
5,1.09E+06,2.13E+06,3.06E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,0.0044149,0.0044146,0.0044149,,,,
2,0.0045047,0.0045033,0.0045047,,,,
3,0.0043979,0.0043978,0.0043979,,,,
4,0.0044529,0.0044529,0.0044529,,,,
5,0.0045078,0.0045081,0.0045078,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,31.5815,15.8043,10.4449,,31.38432,15.74238,10.668
2,31.3276,15.5874,10.6422,,,,
3,31.346,15.8244,10.686,,,,
4,31.3239,15.8345,10.8078,,,,
5,31.3426,15.6613,10.7591,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.3551,1.669,1.1134,,3.33768,1.66396,1.15406
2,3.3292,1.646,1.1476,,,,
3,3.3279,1.6681,1.1555,,,,
4,3.32,1.6691,1.1681,,,,
5,3.3562,1.6676,1.1857,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,28.1153,14.0929,9.2687,,27.94174,14.03308,9.460182
2,27.8944,13.8935,9.44461,,,,
3,27.9178,14.1071,9.46913,,,,
4,27.8949,14.1232,9.58862,,,,
5,27.8863,13.9487,9.52985,,,,
BATCH AND PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.06E+06,2.12E+06,3.21E+06,,,,
2,1.07E+06,2.15E+06,3.15E+06,,,,
3,1.07E+06,2.12E+06,3.14E+06,,,,
4,1.07E+06,2.12E+06,3.10E+06,,,,
5,1.07E+06,2.14E+06,3.12E+06,,,,
BATCH AND PADDING,,,,,,,
ERROR:,,,,,,,
1,0.0047386,0.0047386,0.0047386,,,,
2,0.0042083,0.0042081,0.0042092,,,,
3,0.0042506,0.0042506,0.0042506,,,,
4,0.0039853,0.0039836,0.0039853,,,,
5,0.0045745,0.0045739,0.0045745,,,,
COLSIZE:,0.00001,,,,,,
BATCH,,,,,,,
TIME:,,,,,,,
1,40.6548,20.843,13.0211,,40.64114,20.79546,12.8436
2,40.3564,20.8449,12.7514,,,,
3,40.7423,20.7757,12.9718,,,,
4,40.4456,20.6089,12.8706,,,,
5,41.0066,20.9048,12.6031,,,,
BATCH,,,,,,,
HASH TIME:,,,,,,,
1,3.3112,1.684,1.1353,,3.3233,1.68508,1.1155
2,3.2898,1.6818,1.1004,,,,
3,3.3259,1.679,1.1323,,,,
4,3.3028,1.667,1.1241,,,,
5,3.3868,1.7136,1.0854,,,,
BATCH,,,,,,,
WRITE TIME:,,,,,,,
1,37.2329,19.106,11.8292,,37.2043,19.05466,11.66938
2,36.9588,19.1182,11.5979,,,,
3,37.3053,19.0358,11.79,,,,
4,37.0323,18.8809,11.6907,,,,
5,37.4922,19.1324,11.4391,,,,
BATCH,,,,,,,
THROUGHPUT:,,,,,,,
1,825349,1.61E+06,2.58E+06,,,,
2,831453,1.61E+06,2.63E+06,,,,
3,823577,1.62E+06,2.59E+06,,,,
4,829619,1.63E+06,2.61E+06,,,,
5,818269,1.61E+06,2.66E+06,,,,
BATCH,,,,,,,
ERROR:,,,,,,,
1,0.0001581,0.0001581,0.0001581,,,,
2,0.0001308,0.0001308,0.0001308,,,,
3,0.00011902,0.00011902,0.00011902,,,,
4,0.00016281,0.0001635,0.00016173,,,,
5,0.00014134,0.00014134,0.00014443,,,,
BATCH AND PADDING,,,,,,,
TIME:,,,,,,,
1,40.8252,20.8725,12.8398,,40.7704,20.79302,12.77142
2,40.6159,20.8775,12.9843,,,,
3,40.8251,20.7472,12.8053,,,,
4,40.5238,20.5786,12.6997,,,,
5,41.062,20.8893,12.528,,,,
BATCH AND PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.3255,1.683,1.1064,,3.32558,1.67738,1.10052
2,3.3331,1.699,1.1435,,,,
3,3.3232,1.6681,1.0985,,,,
4,3.3011,1.6527,1.0788,,,,
5,3.345,1.6841,1.0754,,,,
BATCH AND PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,37.3845,19.1324,11.6729,,37.32836,19.0562,11.60782
2,37.1699,19.1309,11.7887,,,,
3,37.3895,19.0171,11.6464,,,,
4,37.111,18.8596,11.5623,,,,
5,37.5869,19.141,11.3688,,,,
BATCH AND PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,821905,1.61E+06,2.61E+06,,,,
2,826141,1.61E+06,2.58E+06,,,,
3,821908,1.62E+06,2.62E+06,,,,
4,828017,1.63E+06,2.64E+06,,,,
5,817165,1.61E+06,2.68E+06,,,,
BATCH AND PADDING,,,,,,,
ERROR:,,,,,,,
1,0.00012181,0.00012181,0.00012181,,,,
2,0.0001155,0.0001155,0.00011744,,,,
3,0.00014966,0.00014966,0.00014966,,,,
4,0.00014385,0.00014385,0.00014385,,,,
5,0.00013629,0.00013629,0.00013478,,,,
