TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
5,25.9251,12.9215,7.97033,,,,
PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.0697,1.5529,1.0132,,3.11924,1.58532,1.012208
2,3.1435,1.5993,1.0459,,,,
3,3.0928,1.5713,0.99809,,,,
4,3.1368,1.5967,1.0117,,,,
5,3.1534,1.6064,0.99215,,,,
PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,22.7139,11.2073,7.28194,,22.733,11.2871,7.16105
2,22.6458,11.2066,7.25718,,,,
3,22.8254,11.3865,7.16874,,,,
4,22.7974,11.3407,7.12686,,,,
5,22.6825,11.2944,6.97053,,,,
PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.30E+06,2.62E+06,4.04E+06,,,,
2,1.30E+06,2.61E+06,4.03E+06,,,,
3,1.29E+06,2.58E+06,4.10E+06,,,,
4,1.29E+06,2.58E+06,4.12E+06,,,,
5,1.29E+06,2.60E+06,4.21E+06,,,,
PADDING,,,,,,,
ERROR:,,,,,,,
1,0.00022122,0.00022122,0.00022122,,,,
2,0.00026604,0.00026604,0.00026604,,,,
3,0.00018791,0.00018764,0.00018791,,,,
4,0.00019831,0.00019831,0.00019831,,,,
5,0.00021265,0.00021265,0.00021217,,,,
PADDING WITH BARRIER,,,,,,,
TIME:,,,,,,,
1,25.7314,12.7733,8.21641,,26.0997,12.92484,8.076308
2,26.2116,12.9368,8.21417,,,,
3,26.1826,12.9456,7.99042,,,,
4,26.1472,12.9916,7.99513,,,,
5,26.2257,12.9769,7.96541,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,3.0799,1.5511,1.001,,3.09876,1.56438,0.980998
2,3.0959,1.5629,0.98824,,,,
3,3.1152,1.571,0.97668,,,,
4,3.0963,1.5658,0.9714,,,,
5,3.1065,1.5711,0.96767,,,,
PADDING WITH BARRIER,,,,,,,
WRITE TIME:,,,,,,,
1,22.5426,11.1659,7.17362,,22.88986,11.29906,7.051646
2,23.0087,11.3123,7.18093,,,,
3,22.9526,11.3094,6.96713,,,,
4,22.9403,11.3659,6.98462,,,,
5,23.0051,11.3418,6.95193,,,,
PADDING WITH BARRIER,,,,,,,
THROUGHPUT:,,,,,,,
1,1.30E+06,2.63E+06,4.08E+06,,,,
2,1.28E+06,2.59E+06,4.08E+06,,,,
3,1.28E+06,2.59E+06,4.20E+06,,,,
4,1.28E+06,2.58E+06,4.20E+06,,,,
5,1.28E+06,2.59E+06,4.21E+06,,,,
PADDING WITH BARRIER,,,,,,,
ERROR:,,,,,,,
1,0.00022722,0.00022722,0.00022722,,,,
2,0.00020692,0.00020692,0.00020692,,,,
3,0.00025458,0.00025458,0.00025458,,,,
4,0.0002,0.0002,0.0002,,,,
5,0.00024394,0.00024394,0.00024394,,,,
COLSIZE:,0.00001,,,,,,
PADDING,,,,,,,
TIME:,,,,,,,
1,25.7161,12.743,7.65738,,25.7883,12.74526,7.677794
2,25.6204,12.658,7.66242,,,,
3,25.7301,12.6913,7.76028,,,,
4,25.9458,12.8186,7.78129,,,,
5,25.9291,12.8154,7.5276,,,,
PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.1297,1.5883,0.97077,,3.11448,1.58238,0.963648
2,3.0945,1.5715,0.95583,,,,
3,3.0868,1.5662,0.9671,,,,
4,3.1504,1.6047,0.98823,,,,
5,3.111,1.5812,0.93631,,,,
PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,22.4952,11.1069,6.65878,,22.58244,11.13012,6.694734
2,22.432,11.0571,6.68166,,,,
3,22.5548,11.0884,6.7723,,,,
4,22.7042,11.185,6.7837,,,,
5,22.726,11.2132,6.57723,,,,
PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.30E+06,2.63E+06,4.38E+06,,,,
2,1.31E+06,2.65E+06,4.38E+06,,,,
3,1.30E+06,2.64E+06,4.32E+06,,,,
4,1.29E+06,2.62E+06,4.31E+06,,,,
5,1.29E+06,2.62E+06,4.46E+06,,,,
PADDING,,,,,,,
ERROR:,,,,,,,
1,,4.07E-01,1.45E-02,,,,
2,,,,,,,
3,2.40E-02,3.92E-01,7.16E-01,,,,
4,,,,,,,
5,,,8.26E-01,,,,
PADDING WITH BARRIER,,,,,,,
TIME:,,,,,,,
1,25.8339,12.8196,7.84635,,25.88406,12.78592,7.749918
2,26.0081,12.8245,7.83423,,,,
3,25.7438,12.7202,7.81186,,,,
4,25.9365,12.7539,7.64577,,,,
5,25.898,12.8114,7.61138,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,3.0816,1.556,0.96529,,3.10548,1.57252,0.962524
2,3.1024,1.5713,0.9697,,,,
3,3.0867,1.5568,0.96534,,,,
4,3.101,1.571,0.94619,,,,
5,3.1557,1.6075,0.9661,,,,
PADDING WITH BARRIER,,,,,,,
WRITE TIME:,,,,,,,
1,22.6367,11.2001,6.83579,,22.66204,11.15108,6.744046
2,22.7853,11.1895,6.822,,,,
3,22.5456,11.1059,6.80453,,,,
4,22.7184,11.1164,6.65534,,,,
5,22.6242,11.1435,6.60257,,,,
PADDING WITH BARRIER,,,,,,,
THROUGHPUT:,,,,,,,
1,1.30E+06,2.62E+06,4.28E+06,,,,
2,1.29E+06,2.62E+06,4.28E+06,,,,
3,1.30E+06,2.64E+06,4.30E+06,,,,
4,1.29E+06,2.63E+06,4.39E+06,,,,
5,1.30E+06,2.62E+06,4.41E+06,,,,
PADDING WITH BARRIER,,,,,,,
ERROR:,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
