TAKE,1THR,2THR,4THR,8THR,1THR,2THR,4THR
 ,,,,,,,
COLSIZE:,0.01,,,,,,
PADDING,,,,,,,
TIME:,,,,,,,
1,27.6151,13.8186,7.93579,,27.57338,13.74538,8.090882
2,27.4839,13.7876,8.04116,,,,
3,27.2815,13.5873,8.11004,,,,
4,27.7234,13.7253,8.2643,,,,
5,27.763,13.8081,8.10312,,,,
PADDING,,,,,,,
HASH TIME:,,,,,,,
1,2.9389,1.4819,0.85812,,2.94732,1.486,0.87762
2,2.9164,1.475,0.86366,,,,
3,2.931,1.4774,0.87665,,,,
4,2.946,1.48,0.88999,,,,
5,3.0043,1.5157,0.89968,,,,
PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,24.5825,12.3071,7.06431,,24.53838,12.2286,7.199536
2,24.4833,12.2822,7.16471,,,,
3,24.2611,12.0777,7.21868,,,,
4,24.6902,12.2207,7.36316,,,,
5,24.6748,12.2553,7.18682,,,,
PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.22E+06,2.43E+06,4.23E+06,,,,
2,1.22E+06,2.43E+06,4.17E+06,,,,
3,1.23E+06,2.47E+06,4.14E+06,,,,
4,1.21E+06,2.44E+06,4.06E+06,,,,
5,1.21E+06,2.43E+06,4.14E+06,,,,
PADDING,,,,,,,
ERROR:,,,,,,,
1,0.0065243,0.0065243,0.0065242,,,,
2,0.034665,0.034665,0.034665,,,,
3,0.013771,0.013812,0.013771,,,,
4,0.049672,0.049672,0.049672,,,,
5,0.031294,0.031294,0.031294,,,,
PADDING WITH BARRIER,,,,,,,
TIME:,,,,,,,
1,27.6048,13.7489,8.01676,,27.50496,13.7193,8.07066
2,26.8272,13.3728,7.70019,,,,
3,27.4608,13.8809,8.25402,,,,
4,27.9198,13.8522,8.14395,,,,
5,27.7122,13.7417,8.23838,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,2.949,1.4841,0.86509,,2.95958,1.48788,0.880038
2,2.9326,1.4795,0.84714,,,,
3,3.002,1.5161,0.92717,,,,
4,2.9663,1.4839,0.87337,,,,
5,2.948,1.4758,0.88742,,,,
PADDING WITH BARRIER,,,,,,,
WRITE TIME:,,,,,,,
1,24.5297,12.2069,7.11597,,24.4323,12.1764,7.155026
2,23.7867,11.8449,6.81998,,,,
3,24.3453,12.3111,7.29517,,,,
4,24.843,12.3102,7.23156,,,,
5,24.6568,12.2089,7.31245,,,,
PADDING WITH BARRIER,,,,,,,
THROUGHPUT:,,,,,,,
1,1.22E+06,2.44E+06,4.19E+06,,,,
2,1.25E+06,2.51E+06,4.36E+06,,,,
3,1.22E+06,2.42E+06,4.07E+06,,,,
4,1.20E+06,2.42E+06,4.12E+06,,,,
5,1.21E+06,2.44E+06,4.07E+06,,,,
PADDING WITH BARRIER,,,,,,,
ERROR:,,,,,,,
1,0.027022,0.027022,0.027022,,,,
2,0.026813,0.026813,0.026813,,,,
3,0.011368,0.011368,0.011368,,,,
4,0.011622,0.011622,0.011622,,,,
5,0.01146,0.01146,0.01146,,,,
COLSIZE:,0.001,,,,,,
PADDING,,,,,,,
TIME:,,,,,,,
1,26.0349,12.9137,7.92395,,26.1864,13.00224,7.854362
2,26.1593,13.0132,7.75742,,,,
3,26.162,12.9747,7.90314,,,,
4,26.5411,13.1619,7.97178,,,,
5,26.0347,12.9477,7.71552,,,,
PADDING,,,,,,,
HASH TIME:,,,,,,,
1,2.9397,1.4802,0.89649,,2.93896,1.47628,0.892066
2,2.9345,1.4751,0.88752,,,,
3,2.927,1.4656,0.8989,,,,
4,2.9589,1.4825,0.90217,,,,
5,2.9347,1.478,0.87525,,,,
PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,23.012,11.4187,7.01265,,23.163,11.49574,6.951834
2,23.1382,11.4984,6.86122,,,,
3,23.152,11.4769,6.99164,,,,
4,23.4956,11.6506,7.06362,,,,
5,23.0172,11.4341,6.83004,,,,
PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.29E+06,2.60E+06,4.23E+06,,,,
2,1.28E+06,2.58E+06,4.33E+06,,,,
3,1.28E+06,2.59E+06,4.25E+06,,,,
4,1.26E+06,2.55E+06,4.21E+06,,,,
5,1.29E+06,2.59E+06,4.35E+06,,,,
PADDING,,,,,,,
ERROR:,,,,,,,
1,,,,,,,
2,,,5.07E-01,,,,
3,,,,,,,
4,,6.03E-01,0.0001349,,,,
5,,8.02E-01,5.26E-01,,,,
PADDING WITH BARRIER,,,,,,,
TIME:,,,,,,,
1,26.5839,13.1776,8.02084,,26.43538,13.13068,7.92176
2,26.4283,13.1184,7.82238,,,,
3,26.1452,12.9953,8.06391,,,,
4,26.5437,13.2286,7.82845,,,,
5,26.4758,13.1335,7.87322,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,2.9584,1.4828,0.90408,,2.97146,1.48778,0.903774
2,2.9487,1.4774,0.88837,,,,
3,2.9491,1.4706,0.9085,,,,
4,2.9745,1.4894,0.88742,,,,
5,3.0266,1.5187,0.9305,,,,
PADDING WITH BARRIER,,,,,,,
WRITE TIME:,,,,,,,
1,23.5195,11.6383,7.0743,,23.356,11.5853,6.979552
2,23.3686,11.5831,6.89691,,,,
3,23.0895,11.4731,7.11876,,,,
4,23.4594,11.6798,6.89978,,,,
5,23.343,11.5522,6.90801,,,,
PADDING WITH BARRIER,,,,,,,
THROUGHPUT:,,,,,,,
1,1.26E+06,2.55E+06,4.18E+06,,,,
2,1.27E+06,2.56E+06,4.29E+06,,,,
3,1.28E+06,2.58E+06,4.16E+06,,,,
4,1.26E+06,2.54E+06,4.29E+06,,,,
5,1.27E+06,2.55E+06,4.26E+06,,,,
PADDING WITH BARRIER,,,,,,,
ERROR:,,,,,,,
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
COLSIZE:,0.0001,,,,,,
PADDING,,,,,,,
TIME:,,,,,,,
1,24.5862,12.2762,7.43102,,24.60296,12.2294,7.393948
2,24.6106,12.2756,7.29539,,,,
3,24.8234,12.3022,7.41837,,,,
4,24.5306,12.1934,7.4431,,,,
5,24.464,12.0996,7.38186,,,,
PADDING,,,,,,,
HASH TIME:,,,,,,,
1,3.0672,1.5444,0.94116,,2.9962,1.51022,0.915154
2,2.9504,1.492,0.8955,,,,
3,3.0456,1.5319,0.93268,,,,
4,2.9535,1.4899,0.90767,,,,
5,2.9643,1.4929,0.89876,,,,
PADDING,,,,,,,
WRITE TIME:,,,,,,,
1,21.4315,10.6874,6.48536,,21.5215,10.6862,6.462096
2,21.5783,10.7535,6.39054,,,,
3,21.693,10.7402,6.47104,,,,
4,21.4907,10.6666,6.48804,,,,
5,21.414,10.5833,6.4755,,,,
PADDING,,,,,,,
THROUGHPUT:,,,,,,,
1,1.36E+06,2.73E+06,4.52E+06,,,,
2,1.36E+06,2.73E+06,4.60E+06,,,,
3,1.35E+06,2.73E+06,4.52E+06,,,,
4,1.37E+06,2.75E+06,4.51E+06,,,,
5,1.37E+06,2.77E+06,4.55E+06,,,,
PADDING,,,,,,,
ERROR:,,,,,,,
1,,,,,,,
2,,0.0037037,6.97E-01,,,,
3,,5.40E-01,9.30E-02,,,,
4,,0.0001894,0.00064492,,,,
5,,,,,,,
PADDING WITH BARRIER,,,,,,,
TIME:,,,,,,,
1,24.1354,11.9978,7.20219,,24.50538,12.17958,7.26698
2,24.5428,12.1965,7.31156,,,,
3,24.6119,12.1962,7.35073,,,,
4,24.5198,12.1907,7.26309,,,,
5,24.717,12.3167,7.20733,,,,
PADDING WITH BARRIER,,,,,,,
HASH TIME:,,,,,,,
1,3.0526,1.5399,0.91999,,3.01798,1.51604,0.908986
2,3.0409,1.5265,0.9247,,,,
3,2.9642,1.4792,0.89604,,,,
4,2.9724,1.4958,0.89418,,,,
5,3.0598,1.5388,0.91002,,,,
PADDING WITH BARRIER,,,,,,,
WRITE TIME:,,,,,,,
1,20.9717,10.4068,6.24273,,21.37862,10.60518,6.31923
2,21.3982,10.6117,6.34791,,,,
3,21.5386,10.656,6.42025,,,,
4,21.4366,10.6335,6.3306,,,,
5,21.548,10.7179,6.25466,,,,
PADDING WITH BARRIER,,,,,,,
THROUGHPUT:,,,,,,,
