TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
 ,,,,,,,,,
COLSIZE:,0.01,,,,,,,,
NO BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,21.2943,11.9065,6.07035,3.83415,,21.29152,11.91064,6.06223,3.856594
2,21.3165,11.9103,6.05344,3.83952,,,,,
3,21.4168,11.959,6.09301,3.94144,,,,,
4,21.1811,11.8728,6.03725,3.85239,,,,,
5,21.2489,11.9046,6.0571,3.81547,,,,,
NO BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1387,0.58193,0.30391,0.25373,,1.13638,0.58032,0.30505,0.25507
2,1.1342,0.58077,0.30981,0.25291,,,,,
3,1.1381,0.58134,0.30342,0.2604,,,,,
4,1.1373,0.5804,0.30311,0.25433,,,,,
5,1.1336,0.57716,0.305,0.25398,,,,,
NO BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,19.9772,11.2304,5.70137,3.54516,,19.97702,11.23866,5.69293,3.566282
2,20.0043,11.2404,5.68042,3.55139,,,,,
3,20.1007,11.2865,5.72488,3.64502,,,,,
4,19.8655,11.2,5.6703,3.56363,,,,,
5,19.9374,11.236,5.68768,3.52621,,,,,
NO BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.58E+06,2.82E+06,5.53E+06,8.75E+06,,,,,
2,1.57E+06,2.82E+06,5.54E+06,8.74E+06,,,,,
3,1.57E+06,2.81E+06,5.51E+06,8.51E+06,,,,,
4,1.58E+06,2.83E+06,5.56E+06,8.71E+06,,,,,
5,1.58E+06,2.82E+06,5.54E+06,8.79E+06,,,,,
NO BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.28131,0.28131,0.28131,0.28129,,,,,
2,0.23254,0.23254,0.23254,0.23252,,,,,
3,0.28121,0.2812,0.28121,0.2812,,,,,
4,0.27471,0.27471,0.27471,0.27467,,,,,
5,0.24694,0.2469,0.24694,0.24691,,,,,
HALF BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,21.3061,11.8929,6.05844,3.85544,,21.44938,12.01666,6.140812,3.884534
2,21.1522,11.8337,5.95952,3.83447,,,,,
3,22.0389,12.4617,6.49245,3.98799,,,,,
4,21.3488,11.9409,6.08967,3.86296,,,,,
5,21.4009,11.9541,6.10398,3.88181,,,,,
HALF BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1359,0.58688,0.305,0.25014,,1.25688,0.684552,0.382296,0.279278
2,1.1298,0.58945,0.30937,0.25081,,,,,
3,1.7558,1.0778,0.68676,0.39682,,,,,
4,1.1295,0.58401,0.30232,0.24792,,,,,
5,1.1334,0.58462,0.30803,0.2507,,,,,
HALF BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,19.9664,11.1872,5.67355,3.54076,,19.98962,11.2173,5.678056,3.537606
2,19.8204,11.1305,5.57303,3.51776,,,,,
3,20.0788,11.2708,5.72439,3.51921,,,,,
4,20.0171,11.2438,5.70447,3.54827,,,,,
5,20.0654,11.2542,5.71484,3.56203,,,,,
HALF BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.57E+06,2.82E+06,5.54E+06,8.70E+06,,,,,
2,1.59E+06,2.84E+06,5.63E+06,8.75E+06,,,,,
3,1.52E+06,2.69E+06,5.17E+06,8.41E+06,,,,,
4,1.57E+06,2.81E+06,5.51E+06,8.69E+06,,,,,
5,1.57E+06,2.81E+06,5.50E+06,8.64E+06,,,,,
HALF BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.28989,0.28989,0.28989,0.28987,,,,,
2,0.29587,0.29587,0.29587,0.29585,,,,,
3,0.26614,0.26614,0.26614,0.26612,,,,,
4,0.2966,0.2966,0.2966,0.29663,,,,,
5,0.25973,0.25973,0.25973,0.25972,,,,,
FULL BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,21.3222,11.894,6.08081,3.84373,,,,,
2,21.4483,11.9717,6.09306,3.95518,,,,,
3,21.4235,11.9628,6.1031,3.84438,,,,,
4,21.3389,11.9081,6.05618,3.8437,,,,,
5,21.3568,11.9221,6.07975,3.85439,,,,,
FULL BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.129,0.56996,0.3003,0.24748,,1.12904,0.574872,0.300614,0.249904
2,1.128,0.57638,0.3002,0.25543,,,,,
3,1.1227,0.57758,0.29993,0.2485,,,,,
4,1.1257,0.57513,0.30044,0.24835,,,,,
5,1.1398,0.57531,0.3022,0.24976,,,,,
FULL BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,20.0156,11.2351,5.71456,3.54815,,20.07148,11.26468,5.716034,3.5711
2,20.1431,11.3012,5.72579,3.6525,,,,,
3,20.1221,11.2913,5.73692,3.54851,,,,,
4,20.0364,11.2433,5.69037,3.54841,,,,,
5,20.0402,11.2525,5.71253,3.55793,,,,,
FULL BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.57E+06,2.82E+06,5.52E+06,8.73E+06,,,,,
2,1.56E+06,2.80E+06,5.51E+06,8.48E+06,,,,,
3,1.57E+06,2.80E+06,5.50E+06,8.73E+06,,,,,
4,1.57E+06,2.82E+06,5.54E+06,8.73E+06,,,,,
5,1.57E+06,2.81E+06,5.52E+06,8.71E+06,,,,,
FULL BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.23306,0.23306,0.23306,0.23304,,,,,
2,0.25942,0.25942,0.25942,0.25931,,,,,
3,0.26764,0.26764,0.26764,0.26763,,,,,
4,0.24914,0.24914,0.24914,0.24879,,,,,
5,0.25943,0.25943,0.25943,0.25941,,,,,
COLSIZE:,0.001,,,,,,,,
NO BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,19.714,10.859,5.50261,3.62962,,19.76308,10.88846,5.522546,3.618162
2,19.8927,10.8963,5.54164,3.65508,,,,,
3,19.8588,10.9498,5.55461,3.60821,,,,,
4,19.8864,10.9697,5.56947,3.63383,,,,,
5,19.4635,10.7675,5.4444,3.56407,,,,,
NO BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1368,0.58209,0.30372,0.25399,,1.14162,0.582016,0.303214,0.253308
2,1.1425,0.58128,0.3013,0.25415,,,,,
3,1.1443,0.58058,0.30441,0.25297,,,,,
4,1.1418,0.58254,0.30308,0.2527,,,,,
5,1.1427,0.58359,0.30356,0.25273,,,,,
NO BARRIER,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,18.3999,10.184,5.13393,3.34059,,18.44328,10.21092,5.154036,3.330214
2,18.5724,10.2228,5.17604,3.36646,,,,,
3,18.537,10.272,5.18494,3.31985,,,,,
4,18.5656,10.2902,5.20076,3.34517,,,,,
5,18.1415,10.0856,5.07451,3.279,,,,,
NO BARRIER,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.70E+06,3.09E+06,6.10E+06,9.24E+06,,,,,
2,1.69E+06,3.08E+06,6.05E+06,9.18E+06,,,,,
3,1.69E+06,3.06E+06,6.04E+06,9.30E+06,,,,,
4,1.69E+06,3.06E+06,6.02E+06,9.23E+06,,,,,
5,1.72E+06,3.12E+06,6.16E+06,9.41E+06,,,,,
NO BARRIER,,,,,,,,,
ERROR:,,,,,,,,,
1,0.0087377,0.0087357,0.0087377,0.008873,,,,,
2,0.0087192,0.0087186,0.0087199,0.00886,,,,,
3,0.010077,0.010071,0.010077,0.010173,,,,,
4,0.009084,0.0090806,0.009084,0.0092268,,,,,
5,0.0081341,0.0081315,0.0081341,0.0082416,,,,,
HALF BARRIER,,,,,,,,,
TIME:,,,,,,,,,
1,19.9091,10.9764,5.60174,3.67793,,20.25454,11.2584,5.81145,3.730338
2,19.7965,10.9081,5.54732,3.64028,,,,,
3,20.4954,11.3897,5.91469,3.73711,,,,,
4,20.5884,11.4823,5.97057,3.80077,,,,,
5,20.4833,11.5355,6.02293,3.7956,,,,,
HALF BARRIER,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.13,0.58336,0.30445,0.2501,,1.50864,0.900704,0.54845,0.341366
2,1.146,0.58256,0.30325,0.25046,,,,,
3,1.7577,1.0762,0.68476,0.39535,,,,,
4,1.7561,1.0784,0.68539,0.39741,,,,,
