TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR,
1,1.8355,1.3812,0.95461,0.4664,,1.70338,1.105068,0.735052,0.463426,
2,1.853,1.204,0.81629,0.46466,,,,,,
3,1.8535,1.2003,0.81511,0.4611,,,,,,
4,1.1393,0.55234,0.27984,0.4653,,,,,,
5,1.8356,1.1875,0.80941,0.45967,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
WRITE TIME:,,,,,,,,,,
1,16.8548,9.73482,4.86675,3.73909,,17.04208,9.775196,4.910258,3.712034,
2,17.2833,9.81296,4.93827,3.68142,,,,,,
3,16.9576,9.67155,4.86457,3.69765,,,,,,
4,16.8864,9.76656,4.90722,3.67195,,,,,,
5,17.2283,9.89009,4.97448,3.77006,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
THROUGHPUT:,,,,,,,,,,
1,1.78E+06,3.00E+06,5.70E+06,7.89E+06,,,,,,
2,1.74E+06,3.02E+06,5.77E+06,8.01E+06,,,,,,
3,1.77E+06,3.06E+06,5.84E+06,7.99E+06,,,,,,
4,1.85E+06,3.23E+06,6.40E+06,8.03E+06,,,,,,
5,1.75E+06,3.01E+06,5.74E+06,7.85E+06,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
ERROR:,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
COLSIZE:,0.0001,,,,,,,,,
PADDING,,,,,,,,,,
TIME:,,,,,,,,,,
1,15.6981,9.07633,4.60279,4.04515,,15.95484,9.26401,4.718842,3.936278,
2,16.0153,9.26507,4.6958,4.01686,,,,,,
3,16.6515,9.87131,5.09367,3.98818,,,,,,
4,15.6293,8.91767,4.62679,3.76663,,,,,,
5,15.78,9.18967,4.57516,3.86457,,,,,,
PADDING,,,,,,,,,,
HASH TIME:,,,,,,,,,,
1,1.0359,0.5686,0.2873,0.46833,,1.14416,0.672138,0.362822,0.46438,
2,1.0237,0.56314,0.28741,0.46387,,,,,,
3,1.602,1.1036,0.66421,0.46423,,,,,,
4,1.027,0.56236,0.28732,0.4666,,,,,,
5,1.0322,0.56299,0.28787,0.45887,,,,,,
PADDING,,,,,,,,,,
WRITE TIME:,,,,,,,,,,
1,14.5349,8.48252,4.2914,3.85287,,14.68332,8.558406,4.326512,3.712674,
2,14.8646,8.67271,4.38035,3.82557,,,,,,
3,14.9219,8.70409,4.38791,3.63822,,,,,,
4,14.475,8.33175,4.3117,3.57536,,,,,,
5,14.6202,8.60096,4.2612,3.67135,,,,,,
PADDING,,,,,,,,,,
THROUGHPUT:,,,,,,,,,,
1,2.14E+06,3.70E+06,7.29E+06,8.29E+06,,,,,,
2,2.10E+06,3.62E+06,7.15E+06,8.35E+06,,,,,,
3,2.02E+06,3.40E+06,6.59E+06,8.41E+06,,,,,,
4,2.15E+06,3.76E+06,7.25E+06,8.91E+06,,,,,,
5,2.13E+06,3.65E+06,7.33E+06,8.68E+06,,,,,,
PADDING,,,,,,,,,,
ERROR:,,,,,,,,,,
1,,6.28E-01,,0.00011393,,,,,,
2,,5.90E-01,,0.000754,,,,,,
3,,1.99E-02,,0.0010076,,,,,,
4,,2.72E-01,,0.00040447,,,,,,
5,,0.006252,,1.65E-01,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
TIME:,,,,,,,,,,
1,16.1785,9.3087,4.68606,3.99501,,16.0541,9.31821,4.759942,3.989798,
2,15.8309,9.15135,4.65386,4.03209,,,,,,
3,15.473,8.95414,4.54624,3.98355,,,,,,
4,16.7213,9.96021,5.22716,3.96944,,,,,,
5,16.0668,9.21665,4.68639,3.9689,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
HASH TIME:,,,,,,,,,,
1,1.0571,0.53892,0.276,0.4695,,1.19804,0.680688,0.382494,0.46586,
2,1.0491,0.5417,0.27556,0.46717,,,,,,
3,1.0581,0.54025,0.27547,0.46845,,,,,,
4,1.763,1.2444,0.80925,0.46259,,,,,,
5,1.0629,0.53817,0.27619,0.46159,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
WRITE TIME:,,,,,,,,,,
1,14.9698,8.68768,4.35038,3.48151,,14.70338,8.552206,4.316798,3.47959,
2,14.6303,8.52062,4.31653,3.52037,,,,,,
3,14.2612,8.32641,4.20983,3.47042,,,,,,
4,14.8064,8.62975,4.3556,3.46137,,,,,,
5,14.8492,8.59657,4.35165,3.46428,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
THROUGHPUT:,,,,,,,,,,
1,2.07E+06,3.60E+06,7.16E+06,8.40E+06,,,,,,
2,2.12E+06,3.67E+06,7.21E+06,8.32E+06,,,,,,
3,2.17E+06,3.75E+06,7.38E+06,8.42E+06,,,,,,
4,2.01E+06,3.37E+06,6.42E+06,8.45E+06,,,,,,
5,2.09E+06,3.64E+06,7.16E+06,8.45E+06,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
ERROR:,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
COLSIZE:,0.00001,,,,,,,,,
PADDING,,,,,,,,,,
TIME:,,,,,,,,,,
1,13.4749,7.84944,4.06174,3.84465,,13.96318,8.245808,4.184456,3.732158,
2,14.0969,8.29751,4.23482,3.7929,,,,,,
3,14.0851,8.22493,4.17435,3.71286,,,,,,
4,14.2461,8.59629,4.36298,3.66941,,,,,,
5,13.9129,8.26087,4.08839,3.64097,,,,,,
PADDING,,,,,,,,,,
HASH TIME:,,,,,,,,,,
1,1.0416,0.57226,0.28465,0.46744,,1.14336,0.667322,0.360012,0.467784,
2,1.0197,0.56471,0.289,0.4652,,,,,,
3,1.0444,0.5515,0.28464,0.46504,,,,,,
4,1.5747,1.0747,0.65093,0.47026,,,,,,
5,1.0364,0.57344,0.29084,0.47098,,,,,,
PADDING,,,,,,,,,,
WRITE TIME:,,,,,,,,,,
1,12.3054,7.26481,3.74975,3.65396,,12.69192,7.543722,3.791268,3.50898,
2,12.9486,7.70926,3.91747,3.60044,,,,,,
3,12.9131,7.62943,3.85211,3.52008,,,,,,
4,12.5425,7.4562,3.6705,3.32367,,,,,,
5,12.75,7.65891,3.76651,3.44675,,,,,,
PADDING,,,,,,,,,,
THROUGHPUT:,,,,,,,,,,
1,2.49E+06,4.27E+06,8.26E+06,8.73E+06,,,,,,
2,2.38E+06,4.04E+06,7.92E+06,8.85E+06,,,,,,
3,2.38E+06,4.08E+06,8.04E+06,9.04E+06,,,,,,
4,2.36E+06,3.90E+06,7.69E+06,9.14E+06,,,,,,
5,2.41E+06,4.06E+06,8.21E+06,9.22E+06,,,,,,
PADDING,,,,,,,,,,
ERROR:,,,,,,,,,,
1,,0.000147,,9.69E-02,,,,,,
2,,7.21E-01,,0.0002946,,,,,,
3,,8.18E-01,,0.00018566,,,,,,
4,,4.39E-01,,0.00016716,,,,,,
5,,1.07E-01,,0.00067086,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
TIME:,,,,,,,,,,
1,14.2292,8.33583,4.20458,3.76424,,14.4416,8.478086,4.340868,3.798476,
2,14.3561,8.36649,4.23516,3.80123,,,,,,
3,14.1463,8.20719,4.19741,3.7952,,,,,,
4,15.1347,9.11812,4.79597,3.79143,,,,,,
5,14.3417,8.3628,4.27122,3.84028,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
HASH TIME:,,,,,,,,,,
1,1.0496,0.5345,0.27855,0.46888,,1.22362,0.689102,0.387216,0.465864,
2,1.0554,0.54189,0.27952,0.46249,,,,,,
3,1.0611,0.5411,0.27396,0.46328,,,,,,
4,1.9023,1.2881,0.82741,0.46457,,,,,,
5,1.0497,0.53992,0.27664,0.4701,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
WRITE TIME:,,,,,,,,,,
1,13.0265,7.71633,3.86765,3.25238,,13.06518,7.70397,3.89362,3.288172,
2,13.1468,7.73474,3.89601,3.29439,,,,,,
3,12.9333,7.58436,3.86482,3.28882,,,,,,
4,13.0786,7.74521,3.90529,3.27905,,,,,,
5,13.1407,7.73921,3.93433,3.32622,,,,,,
PADDING WITH BARRIER,,,,,,,,,,
THROUGHPUT:,,,,,,,,,,
