TAKE,1THR,2THR,4THR,8THR,,1THR,2THR,4THR,8THR
5,1.0824,0.57967,0.29218,0.46152,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,19.0808,10.3442,5.26576,4.14771,,19.08222,10.3558,5.268756,4.097708
2,19.0977,10.3668,5.26727,4.07916,,,,,
3,19.0905,10.3632,5.26911,4.0852,,,,,
4,19.0694,10.3587,5.26578,4.08253,,,,,
5,19.0727,10.3461,5.27586,4.09394,,,,,
BATCH AND PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.65E+06,3.05E+06,5.99E+06,7.73E+06,,,,,
2,1.65E+06,3.05E+06,5.99E+06,7.85E+06,,,,,
3,1.65E+06,3.05E+06,5.98E+06,7.84E+06,,,,,
4,1.65E+06,3.05E+06,5.99E+06,7.84E+06,,,,,
5,1.65E+06,3.05E+06,5.98E+06,7.82E+06,,,,,
BATCH AND PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,1.90E-01,,,,,
2,,,,3.55E-01,,,,,
3,,,,3.98E-01,,,,,
4,,,,1.45E-01,,,,,
5,,,,2.94E-01,,,,,
COLSIZE:,0.0001,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,18.2323,9.76621,4.98975,4.3289,,18.23088,9.753934,4.98672,4.325356
2,18.2245,9.7507,4.98631,4.30568,,,,,
3,18.237,9.76008,4.99386,4.36237,,,,,
4,18.2331,9.74262,4.97877,4.31488,,,,,
5,18.2275,9.75006,4.98491,4.31495,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1147,0.5754,0.29229,0.45285,,1.11234,0.57336,0.291718,0.455954
2,1.1114,0.57207,0.29255,0.45875,,,,,
3,1.118,0.57536,0.29282,0.4594,,,,,
4,1.1068,0.57213,0.28931,0.45687,,,,,
5,1.1108,0.57184,0.29162,0.4519,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,16.989,9.1248,4.65332,4.13001,,16.99002,9.114188,4.650844,4.126826
2,16.984,9.10987,4.64875,4.10811,,,,,
3,16.99,9.11667,4.65677,4.15948,,,,,
4,16.9983,9.10882,4.64595,4.11824,,,,,
5,16.9888,9.11078,4.64943,4.11829,,,,,
BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.84E+06,3.44E+06,6.72E+06,7.75E+06,,,,,
2,1.84E+06,3.44E+06,6.73E+06,7.79E+06,,,,,
3,1.84E+06,3.44E+06,6.72E+06,7.69E+06,,,,,
4,1.84E+06,3.44E+06,6.74E+06,7.78E+06,,,,,
5,1.84E+06,3.44E+06,6.73E+06,7.78E+06,,,,,
BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,,9.58E-01,,4.34E-01,,,,,
2,,7.59E-01,,8.10E-01,,,,,
3,,2.63E-01,,1.58E-01,,,,,
4,,1.83E-01,,0.000111,,,,,
5,,7.80E-01,,0.00011278,,,,,
BATCH AND PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,18.2509,9.76691,4.9983,4.32312,,18.24508,9.757962,4.99172,4.325042
2,18.2515,9.74727,4.98922,4.30722,,,,,
3,18.2478,9.76333,4.99052,4.38128,,,,,
4,18.2321,9.75458,4.98669,4.30824,,,,,
5,18.2431,9.75772,4.99387,4.30535,,,,,
BATCH AND PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.117,0.57716,0.2943,0.45392,,1.11768,0.577788,0.29481,0.45499
2,1.1136,0.57279,0.29362,0.45496,,,,,
3,1.1222,0.57855,0.29648,0.45727,,,,,
4,1.1189,0.57984,0.29499,0.45645,,,,,
5,1.1167,0.5806,0.29466,0.45235,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,17.0024,9.11688,4.65558,4.13032,,16.99684,9.107746,4.648696,4.127704
2,17.0063,9.1017,4.64692,4.10872,,,,,
3,16.9946,9.11483,4.64641,4.18064,,,,,
4,16.9833,9.10126,4.64381,4.10938,,,,,
5,16.9976,9.10406,4.65076,4.10946,,,,,
BATCH AND PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.84E+06,3.44E+06,6.71E+06,7.76E+06,,,,,
2,1.84E+06,3.44E+06,6.73E+06,7.79E+06,,,,,
3,1.84E+06,3.44E+06,6.72E+06,7.66E+06,,,,,
4,1.84E+06,3.44E+06,6.73E+06,7.79E+06,,,,,
5,1.84E+06,3.44E+06,6.72E+06,7.79E+06,,,,,
BATCH AND PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,1.93E-01,,,,,
2,,,,7.96E-01,,,,,
3,,,,2.70E-01,,,,,
4,,,,2.79E-02,,,,,
5,,6.05E-01,,3.33E-01,,,,,
COLSIZE:,0.00001,,,,,,,,
BATCH,,,,,,,,,
TIME:,,,,,,,,,
1,17.7506,9.37002,4.73994,4.34155,,17.73816,9.358262,4.743616,4.341882
2,17.7375,9.35879,4.77798,4.33531,,,,,
3,17.748,9.35796,4.73254,4.36874,,,,,
4,17.731,9.35806,4.72623,4.34274,,,,,
5,17.7237,9.34648,4.74139,4.32107,,,,,
BATCH,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1224,0.58033,0.29265,0.45865,,1.1168,0.576082,0.292316,0.45749
2,1.1159,0.57548,0.29405,0.45761,,,,,
3,1.1096,0.57089,0.28929,0.45236,,,,,
4,1.1169,0.57816,0.29243,0.46117,,,,,
5,1.1192,0.57555,0.29316,0.45766,,,,,
BATCH,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,16.4964,8.72208,4.404,4.14064,,16.48982,8.715704,4.407462,4.13727
2,16.4899,8.71641,4.43937,4.13132,,,,,
3,16.5073,8.72119,4.40062,4.16189,,,,,
4,16.4823,8.7155,4.39018,4.13907,,,,,
5,16.4732,8.70334,4.40314,4.11343,,,,,
BATCH,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.89E+06,3.58E+06,7.08E+06,7.73E+06,,,,,
2,1.89E+06,3.59E+06,7.02E+06,7.74E+06,,,,,
3,1.89E+06,3.59E+06,7.09E+06,7.68E+06,,,,,
4,1.89E+06,3.59E+06,7.10E+06,7.73E+06,,,,,
5,1.89E+06,3.59E+06,7.08E+06,7.77E+06,,,,,
BATCH,,,,,,,,,
ERROR:,,,,,,,,,
1,,5.90E-01,,6.94E-01,,,,,
2,,7.03E-01,,0.000105,,,,,
3,,1.91E-01,,0.0001007,,,,,
4,,5.87E-01,,8.98E-01,,,,,
5,,9.83E-01,,0.00012663,,,,,
BATCH AND PADDING,,,,,,,,,
TIME:,,,,,,,,,
1,17.7436,9.36365,4.74584,4.34085,,17.76554,9.370222,4.745788,4.345536
2,17.7789,9.367,4.74715,4.33813,,,,,
3,17.7698,9.3566,4.74513,4.37463,,,,,
4,17.7513,9.36053,4.73352,4.33951,,,,,
5,17.7841,9.40333,4.7573,4.33456,,,,,
BATCH AND PADDING,,,,,,,,,
HASH TIME:,,,,,,,,,
1,1.1308,0.58715,0.29699,0.45773,,1.13412,0.588886,0.298646,0.45574
2,1.1322,0.58322,0.29592,0.45144,,,,,
3,1.1305,0.58195,0.29695,0.45451,,,,,
4,1.1157,0.57459,0.29155,0.45735,,,,,
5,1.1614,0.61752,0.31182,0.45767,,,,,
BATCH AND PADDING,,,,,,,,,
WRITE TIME:,,,,,,,,,
1,16.4789,8.70149,4.40164,4.1335,,16.49762,8.707966,4.399388,4.13628
2,16.5113,8.71054,4.40227,4.12991,,,,,
3,16.5062,8.70003,4.39917,4.16518,,,,,
4,16.502,8.71339,4.3929,4.13498,,,,,
5,16.4897,8.71438,4.40096,4.11783,,,,,
BATCH AND PADDING,,,,,,,,,
THROUGHPUT:,,,,,,,,,
1,1.89E+06,3.58E+06,7.07E+06,7.73E+06,,,,,
2,1.89E+06,3.58E+06,7.07E+06,7.73E+06,,,,,
3,1.89E+06,3.59E+06,7.07E+06,7.67E+06,,,,,
4,1.89E+06,3.58E+06,7.09E+06,7.73E+06,,,,,
5,1.89E+06,3.57E+06,7.05E+06,7.74E+06,,,,,
BATCH AND PADDING,,,,,,,,,
ERROR:,,,,,,,,,
1,,,,1.39E-01,,,,,
2,,,,1.42E-02,,,,,
3,,2.24E-01,,8.27E-01,,,,,
4,,,,3.83E-01,,,,,
5,,,,8.34E-01,,,,,
